,favorite_count,retweet_count,sentiment,source,text,user_fav_count,user_follower_count,user_friends_count,user_name,user_screen_name,user_url
602,58,52,negative,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PM #Modi and #AkhileshYadav show that in game of men, there is no place for boys like #ArvindKejriwal
@narendramodi https://t.co/0WnNh7TqaU",97,267684,65,Financial Express,FinancialXpress,http://t.co/JNf1UOOm2h
603,0,198,neutral,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,11259,1447,4907,drnc,Student4_Life,
604,0,45,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AAPNewsAlert: MCD Elections 2017: AAP govt did in 2 yrs what BJP in Chhattisgarh, MP couldnt in 10-15 years - @ArvindKejriwal 
https:/",34,31,15,vinesh,deshmukh_vinesh,
605,0,198,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,5533,696,442,Abhish#SwamyinRS#VHS,sachin23kr,http://t.co/Y5VEPIzeRZ
606,0,41,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sush091979: PM Modi and Akhilesh show that in a game of men, there is no place for boys like ArvindKejriwal https://t.co/e5xLdABtbM",45038,384,519,Himalay Singh #Lodhi,HimalaySingh93,
607,0,41,negative,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sush091979: PM Modi and Akhilesh show that in a game of men, there is no place for boys like ArvindKejriwal https://t.co/e5xLdABtbM",32586,2526,853, SULTAN  ,utpalghosh30,https://t.co/75xh2DATOn
608,0,41,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @jatanacharya: Big breaking ..... Arvind Kejriwal has secretly resigned from CM post of Delhi. Has informed only selected 'journalist' -,33226,254,73,  ...,ashishK73762819,
609,0,0,negative,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","What Arvind Kejriwal told AAP volunteers demoralised after party's poor show in Punjab, Goa elections https://t.co/IV6pFDdNzr",54,1,9,Adil Gani,AdilGani2006,
610,0,18,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrShobha: PM Modi and Akhilesh show that in a game of men, there is no place for boys like Arvind Kejriwal

https://t.co/LznhimdSvB",2012,501,232,Venu A. Dhingra,VenuDhingra,https://t.co/Q056HJBAqx
611,0,53,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @AshokGoelBJP: AAP   @ArvindKejriwal      #AAP__ @Punitspeaks @IPraveenDixit    https://t.co/,924,42,639,puneet Abrol,puneet_dynamic,
